date,17, cured, dead
2020-01-20, 0, 0, 0
2020-01-21, 0, 0, 0
2020-01-22,2, 0, 0
2020-01-23,5, 0, 0
2020-01-24,7, 0, 0
2020-01-25,14, 0, 0
2020-01-26, 72, 0, 0
2020-01-27,39, 0, 0
2020-01-28,51, 0, 0
2020-01-29,63, 0, 0
2020-01-30,79, 0, 0
2020-01-31,106, 0, 0
2020-02-01,137, 0, 0
2020-02-02,175, 0, 0
2020-02-03,189, 0, 0
2020-02-04,216, 0, 0
2020-02-05,237, 0, 0
2020-02-06,255, 0, 0
2020-02-07,284, 0, 0
2020-02-08,298, 0, 0
2020-02-09,304,0,0
2020-02-10,313,0,0
2020-02-11,317,0,0
2020-02-12,323,0,0
2020-02-13,327,0,0